model,accuracy,precision,recall,f1_score,training_time
Logistic Regression,0.88308,0.8793472233225066,0.888,0.8836524300441826,1.3414289951324463
SVM,0.86916,0.8709703352359515,0.86672,0.8688399695256426,0.5842010974884033
Naive Bayes,0.85068,0.8519470092332396,0.84888,0.8504107393307955,0.9585790634155273
