model,accuracy,precision,recall,f1_score,auc,training_time
LSTM,0.85836,0.9020734224934925,0.804,0.850217841884861,0.9398049888,2426.8605999946594
Bidirectional LSTM,0.86504,0.8902001026167266,0.8328,0.8605439365131851,0.9376439936000001,1496.7163240909576
LSTM + MaxPooling,0.87336,0.8786919831223629,0.86632,0.8724621334192717,0.9462354016000002,2537.6727690696716
